OID_,SOURCE_ID,SITE_NAME,TOWN,REGION,LATITUDE,LONGITUDE,TYPE,ZII_NUM,PWS_ID
2039,3056002-05G,BOMIL BEDROCK WELL #1,CHELMSFORD,3,42.630575710000002,-71.382662420000003,GW,567,3056002
2040,1341028-01S,WILLIAMS COLLEGE CENTER FOR ENV STUDIES,WILLIAMSTOWN,1,42.714325359999997,-73.201869029999997,TNC,0,1341028
2041,3259000-07G,GP WELL 8,SALISBURY,3,42.877377500000001,-70.880367690000000,GW,660,3259000
2042,3205021-01G,RUPP REALTY TRUST,NEWBURY,3,42.788647220000001,-70.878426849999997,NTNC,0,3205021
2043,3144000-02G,BROWNS GP WELL,IPSWICH,3,42.692295739999999,-70.855584719999996,GW,521,3144000
2044,3347000-04G,G.P. WELL B,WOBURN,3,42.463601830000002,-71.154057460000004,GW,529,3347000
2045,3198000-14G,SPRINGVALE #2 GP WELL,NATICK,3,42.298193540000000,-71.368226609999994,GW,573,3198000
2046,2101000-03G,GP WELL 3,FRANKLIN,2,42.059921830000000,-71.426903080000002,GW,651,2101000
2047,3198000-15G,SPRINGVALE #3A GP WELL,NATICK,3,42.298463349999999,-71.369025910000005,GW,573,3198000
2048,3067000-10G,DEACONESS SATELLITE G.P. WELL,CONCORD,3,42.447336980000003,-71.376088240000001,GW,374,3067000
2049,3330000-20G,STEPINSKI WELL,WESTFORD,3,42.597614280000002,-71.459954600000003,GW,612,3330000
2050,2045000-03G,12"" GDW  03G  QUABOAG ST.,BROOKFIELD,2,42.206963629999997,-72.059476689999997,GW,247,2045000
2051,2045000-05G,12"" GDW  05G  QUABOAG ST.,BROOKFIELD,2,42.207012829999996,-72.059502240000000,GW,247,2045000
2052,2045000-04G,12"" GDW  04G  QUABOAG ST.,BROOKFIELD,2,42.207003370000002,-72.059412829999999,GW,247,2045000
2053,2232000-05G,NASHUA ROAD WELL 1,PEPPERELL,2,42.702427069999999,-71.557905710000000,GW,618,2232000
2054,2101000-01G,GP WELL 1,FRANKLIN,2,42.076644340000001,-71.416647920000003,GW,249,2101000
2055,2019000-08G,GROVE POND WELL 8,AYER,2,42.551191670000001,-71.582497219999993,GW,693,2019000
2056,2019000-07G,GROVE POND WELL 7,AYER,2,42.551436109999997,-71.582224999999994,GW,693,2019000
2057,1053034-01G,COLD RIVER INC,CHARLEMONT,1,42.626849340000000,-72.881900479999999,TNC,0,1053034
2058,1227020-01G,PALMER MOTORSPORTS PARK,PALMER,1,42.227759360000000,-72.247850369999995,TNC,0,1227020
2059,2019000-06G,GROVE POND WELL 6,AYER,2,42.551475000000003,-71.581880560000002,GW,693,2019000
2060,1341005-02G,MARGARET LINDLEY PARK,WILLIAMSTOWN,1,42.686089389999999,-73.232029699999998,TNC,0,1341005
2061,1130002-01G,HEATH ELEMENTARY SCHOOL,HEATH,1,42.702572029999999,-72.830543570000003,TNC,0,1130002
2062,1120008-04G,GREATHORSE COUNTRY CLUB,HAMPDEN,1,42.064833399999998,-72.430244979999998,NTNC,0,1120008
2063,2019000-01G,GROVE POND WELL 1,AYER,2,42.551448829999998,-71.581070010000005,GW,693,2019000
2064,4076004-01S,TAUNTON RIVER,DIGHTON,4,41.850989239999997,-71.111660380000004,SW,0,4076004
2065,1148022-01G,RAMBLEWILD LLC,LANESBOROUGH,1,42.567332360000002,-73.263165020000002,TNC,0,1148022
2066,1029000-04G,REPLACEMENT PRATT WELL,BERNARDSTON,1,42.653621000000001,-72.568189000000004,GW,443,1029000
2067,1225011-01G,FRATELLIS RESTAURANT AND PIZZERIA,OTIS,1,42.192678309999998,-73.092387549999998,TNC,0,1225011
2068,1090008-01G,GUILDER HILLS HOMEOWNERS ASSOCIATION,EGREMONT,1,42.143549370000002,-73.453057099999995,TNC,592,1090008
2069,1043025-01G,VIANT AS AND O HOLDING LLC,BRIMFIELD,1,42.114696010000003,-72.203285460000004,NTNC,0,1043025
2070,2215000-06G,HOWARD ST. #3,NORTHBOROUGH,2,42.327354339999999,-71.653183080000005,GW,119,2215000
2071,2084001-02G,YMCA CAMP FRANK A. DAY,EAST BROOKFIELD,2,42.176962820000000,-72.069629030000002,TNC,0,2084001
2072,2054040-08G,ROCK WELL 8,CHARLTON,2,42.111905940000000,-72.008789680000007,GW,0,2054040
2073,1225017-05G,KLONDIKE CAMPGROUND,OTIS,1,42.213184280000000,-73.111892720000000,NTNC,0,1225017
2074,2045004-01G,ROCK WELL  1,BROOKFIELD,2,42.191088100000002,-72.090154760000004,GW,0,2045004
2075,2282000-04G,GP 4 REDEMPTION ROCK TRAIL WELL,STERLING,2,42.442098549999997,-71.812261460000002,GW,175,2282000
